ID,Приоритет,Раздел,Проверка,Ожидаемый результат
REG-01,High,Регистрация,"Открыть /register; ввести новый корректный email и пароль не короче 6 символов; отправить форму","Редирект на /search; пользователь считается авторизованным (шапка без кнопки ""Войти"" при необходимости проверить по UI)"
REG-02,High,Регистрация,"Повторная регистрация с тем же email","Сообщение об ошибке; регистрация не создаёт дубликат (400 / текст про существующий email)"
REG-03,Medium,Регистрация,"Некорректный email (без @ или без домена)","Сообщение о некорректном email; регистрация не выполнена"
REG-04,Medium,Регистрация,"Пароль короче 6 символов","Сообщение о длине пароля; регистрация не выполнена"
AUTH-01,High,Вход,"Открыть /login; ввести существующие email и верный пароль","Редирект на /search; сессия установлена"
AUTH-02,High,Вход,"Несуществующий email и любой пароль","Ошибка ""Неверный email или пароль""; вход не выполнен"
AUTH-03,High,Вход,"Существующий email и неверный пароль","Ошибка ""Неверный email или пароль""; вход не выполнен"
AUTH-04,Medium,Вход,"Невалидный формат email","Ошибка про неверный email; вход не выполнен"
AUTH-05,Medium,Выход,"Нажать ""Выйти"" (для авторизованного)","Сессия сброшена; доступ к защищённым действиям без повторного входа недоступен"
CAT-01,High,Поиск,"Открыть /search без фильтров; при наличии seed-данных нажать поиск","Отображается список пластинок; нет ошибки 500"
CAT-02,High,Поиск,"Заполнить только название фильтра; выполнить поиск","Список соответствует фильтру или пусто; без ошибок валидации"
CAT-03,High,Поиск,"Заполнить исполнителя и/или жанр","Фильтрация корректна; пустой результат допустим с сообщением ""ничего не найдено"""
CAT-04,High,Поиск,"Оставить цену ""от"" и/или ""до"" пустыми","Пустые поля не приводят к ошибке парсинга; поиск выполняется"
CAT-05,Medium,Поиск,"Пороговые значения цены (минимум/максимум из каталога)","Корректное включение границ; без сбоев"
CARD-01,High,Карточка товара,"Перейти по ""Подробнее"" с пластинки","Открывается страница товара с названием; цена; кнопка в корзину"
CARD-02,Medium,Карточка товара,"Пластинка без обложки (cover_url пустой)","Пустой блок/плейсхолдер; страница не падает"
CART-01,High,Корзина,"Неавторизованный пользователь пытается добавить в корзину","Поведение согласовано с требованиями (редирект на логин или запрет — как в реализации)"
CART-02,High,Корзина,"Авторизованный: добавить пластинку с карточки","Позиция в корзине; счётчик в шапке увеличился"
CART-03,High,Корзина,"Авторизованный: добавить с поиска","Аналогично; корректная сумма и количество"
CART-04,Medium,Корзина,"Открыть /cart","Список позиций; итоговая сумма согласована с ценами"
ORDER-01,High,Оформление заказа,"Корзина не пустая; открыть оформление; ввести адрес; выбрать способ оплаты; оформить","Заказ создан; страница успеха с номером заказа; корзина пуста или поведение согласовано с логикой"
ORDER-02,Medium,Оформление заказа,"Пустая корзина; перейти на checkout","Сообщение о пустой корзине; оформление недоступно"
ORDER-03,Medium,Оформление заказа,"Не заполнен адрес доставки (если поле обязательное)","Валидация; заказ не отправлен"
ADMIN-01,High,Админ,"Войти под пользователем с ролью admin","В шапке есть ссылка на добавление пластинки"
ADMIN-02,High,Админ,"Создать пластинку с новым исполнителем/жанрами","Пластинка появляется в поиске; цена и описание корректны"
ADMIN-03,Medium,Админ,"Войти под обычным пользователем; открыть URL /admin/vinyls/new","403 или редирект; добавление недоступно"
UI-01,Low,Интерфейс,"Основные страницы на разрешении desktop","Шапка; навигация; читаемость без налезания блоков"
UI-02,Low,Интерфейс,"Повторить ключевые сценарии на узком экране (по возможности)","Приложение остаётся пригодным для просмотра"
